V1,V2,V3,V4
1/2011,998,765,"1,030"
2/2011,"1,005",740,"1,036"
3/2011,"1,000",768,"1,022"
4/2011,997,768,"1,038"
5/2011,949,755,998
6/2011,948,738,922
7/2011,941,765,949
8/2011,987,834,"1,009"
9/2011,"1,069",962,"1,057"
10/2011,"1,092",992,"1,119"
11/2011,"1,051",953,"1,076"
12/2011,"1,035",913,"1,056"
1/2012,"1,047",946,"1,074"
2/2012,"1,041",930,"1,060"
3/2012,"1,020",881,"1,022"
4/2012,"1,099","1,002","1,113"
5/2012,"1,129",991,"1,151"
6/2012,"1,087",951,"1,087"
7/2012,"1,100",959,"1,142"
8/2012,"1,110",986,"1,121"
9/2012,"1,103",997,"1,116"
10/2012,"1,214","1,086","1,318"
11/2012,"1,165","1,053","1,195"
12/2012,"1,087",979,"1,091"
1/2013,"1,126","1,051","1,132"
2/2013,"1,230","1,142","1,287"
3/2013,"1,456","1,368","1,664"
4/2013,"1,421","1,358","1,606"
5/2013,"1,447","1,441","1,557"
6/2013,"1,744","1,540","2,107"
7/2013,"1,543","1,413","1,771"
8/2013,"1,580","1,574","1,716"
9/2013,"1,632","1,527","1,872"
10/2013,"1,560","1,526","1,699"
11/2013,"1,629","1,594","1,763"
12/2013,"1,356","1,374","1,365"
1/2014,"1,201","1,138","1,219"
2/2014,"1,224","1,157","1,261"
3/2014,"1,364","1,293","1,436"
4/2014,"1,265","1,140","1,305"
5/2014,"1,278","1,146","1,318"
6/2014,"1,290","1,141","1,328"
7/2014,"1,302","1,130","1,317"
8/2014,"1,299","1,098","1,295"
9/2014,"1,292","1,104","1,295"
10/2014,"1,287","1,092","1,320"
11/2014,"1,302","1,109","1,340"
12/2014,"1,328","1,143","1,375"
1/2015,"1,336","1,148","1,443"
2/2015,"1,303","1,130","1,389"
3/2015,"1,360","1,211","1,464"
4/2015,"1,422","1,315","1,513"
5/2015,"1,475","1,370","1,600"
6/2015,"1,512","1,382","1,663"
7/2015,"1,552","1,428","1,709"
8/2015,"1,591","1,471","1,772"
9/2015,"1,586","1,481","1,758"
10/2015,"1,615","1,526","1,818"
11/2015,"1,608","1,508","1,809"
12/2015,"1,596","1,476","1,793"
1/2016,"1,604","1,493","1,794"
2/2016,"1,624","1,490","1,826"
3/2016,"1,624","1,480","1,841"
4/2016,"1,631","1,515","1,826"
5/2016,"1,638","1,516","1,846"
6/2016,"1,665","1,546","1,871"
7/2016,"1,644","1,515","1,822"
8/2016,"1,662","1,521","1,834"
9/2016,"1,665","1,531","1,856"
10/2016,"1,660","1,551","1,851"
11/2016,"1,620","1,520","1,780"
12/2016,"1,603","1,500","1,753"
1/2017,"1,586","1,463","1,756"
2/2017,"1,603","1,455","1,821"
3/2017,"1,612","1,472","1,833"
4/2017,"1,628","1,498","1,863"
5/2017,"1,651","1,522","1,877"
6/2017,"1,667","1,543","1,903"
7/2017,"1,669","1,553","1,913"
8/2017,"1,652","1,540","1,882"
9/2017,"1,646","1,521","1,873"
10/2017,"1,609","1,495","1,831"
11/2017,"1,591","1,487","1,811"
12/2017,"1,573","1,471","1,776"
1/2018,"1,577","1,476","1,785"
2/2018,"1,576","1,468","1,791"
3/2018,"1,529","1,434","1,708"
4/2018,"1,559","1,472","1,744"
5/2018,"1,582","1,491","1,759"
6/2018,"1,597","1,488","1,788"
7/2018,"1,606","1,504","1,796"
8/2018,"1,621","1,521","1,802"
9/2018,"1,639","1,528","1,828"
10/2018,"1,595","1,458","1,808"
11/2018,"1,596","1,450","1,812"
